,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000718.XSHE,430000718,苏宁环球股份有限公司,000718.XSHE,2014-12-31,年度分红,2015-04-22,10送3股派2元(含税),204319.2561,2015-05-19,10送3股派2元(含税),204319.2561,2015-07-10,10送3股派2元(含税),204319.2561,2.0,1.75,40863.8512,2015-07-15,2015-07-16,2015-07-16,204319.2561,313002,实施方案
600166.XSHG,420600166,北汽福田汽车股份有限公司,600166.XSHG,2014-12-31,年度分红,2015-04-18,10派0.43元(含税),333506.5645,2015-05-28,10派0.43元(含税),333506.5645,2015-07-10,10派0.43元(含税),333506.5645,0.43,0.4085,14340.7823,2015-07-15,2015-07-16,2015-07-16,333506.5645,313002,实施方案
600210.XSHG,420600210,上海紫江企业集团股份有限公司,600210.XSHG,2014-12-31,年度分红,2015-04-22,10派0.5元(含税),151673.6158,2015-05-21,10派0.5元(含税),151673.6158,2015-07-09,10派0.5元(含税),151673.6158,0.5,0.475,7583.6808,2015-07-15,2015-07-16,2015-07-16,151673.6158,313002,实施方案
600256.XSHG,420600256,广汇能源股份有限公司,600256.XSHG,2014-12-31,年度分红,2015-06-09,10派0.5元(含税),522142.4684,2015-06-26,10派0.5元(含税),522142.4684,2015-07-09,10派0.5元(含税),522142.4684,0.5,0.475,26107.1234,2015-07-15,2015-07-16,2015-07-16,522142.4684,313002,实施方案
600418.XSHG,420600418,安徽江淮汽车集团股份有限公司,600418.XSHG,2014-12-31,年度分红,2015-04-29,10派1.1元(含税),128490.5826,2015-05-29,10派1.1元(含税),128490.5826,2015-07-10,10派1.1元(含税),146323.3021,1.1,1.045,16095.5632,2015-07-15,2015-07-16,2015-07-16,146323.3021,313002,实施方案
600428.XSHG,420600428,中远海运特种运输股份有限公司,600428.XSHG,2014-12-31,年度分红,2015-03-31,10派0.2元(含税),169044.6393,2015-05-25,10派0.2元(含税),169044.6393,2015-07-09,10派0.2元(含税),169044.6393,0.2,0.19,3380.8928,2015-07-15,2015-07-16,2015-07-16,169044.6393,313002,实施方案
600690.XSHG,420600690,青岛海尔股份有限公司,600690.XSHG,2014-12-31,年度分红,2015-03-31,10转增10股派4.92元(含税),304593.5134,2015-06-11,10转增10股派4.92元(含税),304593.5134,2015-07-10,10转增10股派4.92元(含税),304612.5134,4.92,4.6739999999999995,149869.3566,2015-07-15,2015-07-16,2015-07-16,304612.5134,313002,实施方案
600783.XSHG,420600783,鲁信创业投资集团股份有限公司,600783.XSHG,2014-12-31,年度分红,2015-04-30,10派1.5元(含税),74435.9294,2015-05-21,10派1.5元(含税),74435.9294,2015-07-09,10派1.5元(含税),74435.9294,1.5,1.425,11165.3894,2015-07-15,2015-07-16,2015-07-16,74435.9294,313002,实施方案
600893.XSHG,420600893,中国航发动力股份有限公司,600893.XSHG,2014-12-31,年度分红,2015-04-23,10派1.45元(含税),194871.875,2015-05-19,10派1.45元(含税),194871.875,2015-07-09,10派1.45元(含税),194871.875,1.45,1.3775,28256.4219,2015-07-15,2015-07-16,2015-07-16,194871.875,313002,实施方案
601933.XSHG,300016367,永辉超市股份有限公司,601933.XSHG,2014-12-31,年度分红,2015-04-30,10派1.5元(含税),406753.6108,2015-05-28,10派1.2001元(含税),406753.6108,2015-07-10,10派1.2001元(含税),406753.6108,1.2001,1.1401,48814.5008,2015-07-15,2015-07-16,2015-07-16,406753.6108,313002,实施方案
